HCPCS,LCD,Description
L0455,Spinal Orthoses: TLSO and LSO,"TLSO, FLEXIBLE, PROVIDES TRUNK SUPPORT, EXTENDS FROM SACROCOCCYGEAL JUNCTION TO ABOVE T-9 VERTEBRA, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL PLANE, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISKS WITH RIGID STAYS OR PANEL(S), INCLUDES SHOULDER STRAPS AND CLOSURES, PREFABRICATED, OFF-THE-SHELF"
L0456,Spinal Orthoses: TLSO and LSO,"TLSO, FLEXIBLE, PROVIDES TRUNK SUPPORT, THORACIC REGION, RIGID POSTERIOR PANEL AND SOFT ANTERIOR APRON, EXTENDS FROM THE SACROCOCCYGEAL JUNCTION AND TERMINATES JUST INFERIOR TO THE SCAPULAR SPINE, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL PLANE, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISKS, INCLUDES STRAPS AND CLOSURES, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0457,Spinal Orthoses: TLSO and LSO,"TLSO, FLEXIBLE, PROVIDES TRUNK SUPPORT, THORACIC REGION, RIGID POSTERIOR PANEL AND SOFT ANTERIOR APRON, EXTENDS FROM THE SACROCOCCYGEAL JUNCTION AND TERMINATES JUST INFERIOR TO THE SCAPULAR SPINE, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL PLANE, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISKS, INCLUDES STRAPS AND CLOSURES, PREFABRICATED, OFF-THE-SHELF"
L0458,Spinal Orthoses: TLSO and LSO,"TLSO, TRIPLANAR CONTROL, MODULAR SEGMENTED SPINAL SYSTEM, TWO RIGID PLASTIC SHELLS, POSTERIOR EXTENDS FROM THE SACROCOCCYGEAL JUNCTION AND TERMINATES JUST INFERIOR TO THE SCAPULAR SPINE, ANTERIOR EXTENDS FROM THE SYMPHYSIS PUBIS TO THE XIPHOID, SOFT LINER, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL, CORONAL, AND TRANSVERSE PLANES, LATERAL STRENGTH IS PROVIDED BY OVERLAPPING PLASTIC AND STABILIZING CLOSURES, INCLUDES STRAPS AND CLOSURES, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"
L0460,Spinal Orthoses: TLSO and LSO,"TLSO, TRIPLANAR CONTROL, MODULAR SEGMENTED SPINAL SYSTEM, TWO RIGID PLASTIC SHELLS, POSTERIOR EXTENDS FROM THE SACROCOCCYGEAL JUNCTION AND TERMINATES JUST INFERIOR TO THE SCAPULAR SPINE, ANTERIOR EXTENDS FROM THE SYMPHYSIS PUBIS TO THE STERNAL NOTCH, SOFT LINER, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL, CORONAL, AND TRANSVERSE PLANES, LATERAL STRENGTH IS PROVIDED BY OVERLAPPING PLASTIC AND STABILIZING CLOSURES, INCLUDES STRAPS AND CLOSURES, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0462,Spinal Orthoses: TLSO and LSO,"TLSO, TRIPLANAR CONTROL, MODULAR SEGMENTED SPINAL SYSTEM, THREE RIGID PLASTIC SHELLS, POSTERIOR EXTENDS FROM THE SACROCOCCYGEAL JUNCTION AND TERMINATES JUST INFERIOR TO THE SCAPULAR SPINE, ANTERIOR EXTENDS FROM THE SYMPHYSIS PUBIS TO THE STERNAL NOTCH, SOFT LINER, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL, CORONAL, AND TRANSVERSE PLANES, LATERAL STRENGTH IS PROVIDED BY OVERLAPPING PLASTIC AND STABILIZING CLOSURES, INCLUDES STRAPS AND CLOSURES, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"
L0464,Spinal Orthoses: TLSO and LSO,"TLSO, TRIPLANAR CONTROL, MODULAR SEGMENTED SPINAL SYSTEM, FOUR RIGID PLASTIC SHELLS, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION AND TERMINATES JUST INFERIOR TO SCAPULAR SPINE, ANTERIOR EXTENDS FROM SYMPHYSIS PUBIS TO THE STERNAL NOTCH, SOFT LINER, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL, CORONAL, AND TRANSVERSE PLANES, LATERAL STRENGTH IS PROVIDED BY OVERLAPPING PLASTIC AND STABILIZING CLOSURES, INCLUDES STRAPS AND CLOSURES, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"
L0466,Spinal Orthoses: TLSO and LSO,"TLSO, SAGITTAL CONTROL, RIGID POSTERIOR FRAME AND FLEXIBLE SOFT ANTERIOR APRON WITH STRAPS, CLOSURES AND PADDING, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL PLANE, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISKS, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0467,Spinal Orthoses: TLSO and LSO,"TLSO, SAGITTAL CONTROL, RIGID POSTERIOR FRAME AND FLEXIBLE SOFT ANTERIOR APRON WITH STRAPS, CLOSURES AND PADDING, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL PLANE, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISKS, PREFABRICATED, OFF-THE-SHELF"
L0468,Spinal Orthoses: TLSO and LSO,"TLSO, SAGITTAL-CORONAL CONTROL, RIGID POSTERIOR FRAME AND FLEXIBLE SOFT ANTERIOR APRON WITH STRAPS, CLOSURES AND PADDING, EXTENDS FROM SACROCOCCYGEAL JUNCTION OVER SCAPULAE, LATERAL STRENGTH PROVIDED BY PELVIC, THORACIC, AND LATERAL FRAME PIECES, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL, AND CORONAL PLANES, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISKS, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0469,Spinal Orthoses: TLSO and LSO,"TLSO, SAGITTAL-CORONAL CONTROL, RIGID POSTERIOR FRAME AND FLEXIBLE SOFT ANTERIOR APRON WITH STRAPS, CLOSURES AND PADDING, EXTENDS FROM SACROCOCCYGEAL JUNCTION OVER SCAPULAE, LATERAL STRENGTH PROVIDED BY PELVIC, THORACIC, AND LATERAL FRAME PIECES, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL AND CORONAL PLANES, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISKS, PREFABRICATED, OFF-THE-SHELF"
L0470,Spinal Orthoses: TLSO and LSO,"TLSO, TRIPLANAR CONTROL, RIGID POSTERIOR FRAME AND FLEXIBLE SOFT ANTERIOR APRON WITH STRAPS, CLOSURES AND PADDING, EXTENDS FROM SACROCOCCYGEAL JUNCTION TO SCAPULA, LATERAL STRENGTH PROVIDED BY PELVIC, THORACIC, AND LATERAL FRAME PIECES, ROTATIONAL STRENGTH PROVIDED BY SUBCLAVICULAR EXTENSIONS, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL, CORONAL, AND TRANSVERSE PLANES, PROVIDES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISKS, INCLUDES FITTING AND SHAPING THE FRAME, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"
L0472,Spinal Orthoses: TLSO and LSO,"TLSO, TRIPLANAR CONTROL, HYPEREXTENSION, RIGID ANTERIOR AND LATERAL FRAME EXTENDS FROM SYMPHYSIS PUBIS TO STERNAL NOTCH WITH TWO ANTERIOR COMPONENTS (ONE PUBIC AND ONE STERNAL), POSTERIOR AND LATERAL PADS WITH STRAPS AND CLOSURES, LIMITS SPINAL FLEXION, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL, CORONAL, AND TRANSVERSE PLANES, INCLUDES FITTING AND SHAPING THE FRAME, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"
L0480,Spinal Orthoses: TLSO and LSO,"TLSO, TRIPLANAR CONTROL, ONE PIECE RIGID PLASTIC SHELL WITHOUT INTERFACE LINER, WITH MULTIPLE STRAPS AND CLOSURES, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION AND TERMINATES JUST INFERIOR TO SCAPULAR SPINE, ANTERIOR EXTENDS FROM SYMPHYSIS PUBIS TO STERNAL NOTCH, ANTERIOR OR POSTERIOR OPENING, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL, CORONAL, AND TRANSVERSE PLANES, INCLUDES A CARVED PLASTER OR CAD-CAM MODEL, CUSTOM FABRICATED"
L0482,Spinal Orthoses: TLSO and LSO,"TLSO, TRIPLANAR CONTROL, ONE PIECE RIGID PLASTIC SHELL WITH INTERFACE LINER, MULTIPLE STRAPS AND CLOSURES, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION AND TERMINATES JUST INFERIOR TO SCAPULAR SPINE, ANTERIOR EXTENDS FROM SYMPHYSIS PUBIS TO STERNAL NOTCH, ANTERIOR OR POSTERIOR OPENING, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL, CORONAL, AND TRANSVERSE PLANES, INCLUDES A CARVED PLASTER OR CAD-CAM MODEL, CUSTOM FABRICATED"
L0484,Spinal Orthoses: TLSO and LSO,"TLSO, TRIPLANAR CONTROL, TWO PIECE RIGID PLASTIC SHELL WITHOUT INTERFACE LINER, WITH MULTIPLE STRAPS AND CLOSURES, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION AND TERMINATES JUST INFERIOR TO SCAPULAR SPINE, ANTERIOR EXTENDS FROM SYMPHYSIS PUBIS TO STERNAL NOTCH, LATERAL STRENGTH IS ENHANCED BY OVERLAPPING PLASTIC, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL, CORONAL, AND TRANSVERSE PLANES, INCLUDES A CARVED PLASTER OR CAD-CAM MODEL, CUSTOM FABRICATED"
L0486,Spinal Orthoses: TLSO and LSO,"TLSO, TRIPLANAR CONTROL, TWO PIECE RIGID PLASTIC SHELL WITH INTERFACE LINER, MULTIPLE STRAPS AND CLOSURES, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION AND TERMINATES JUST INFERIOR TO SCAPULAR SPINE, ANTERIOR EXTENDS FROM SYMPHYSIS PUBIS TO STERNAL NOTCH, LATERAL STRENGTH IS ENHANCED BY OVERLAPPING PLASTIC, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL, CORONAL, AND TRANSVERSE PLANES, INCLUDES A CARVED PLASTER OR CAD-CAM MODEL, CUSTOM FABRICATED"
L0488,Spinal Orthoses: TLSO and LSO,"TLSO, TRIPLANAR CONTROL, ONE PIECE RIGID PLASTIC SHELL WITH INTERFACE LINER, MULTIPLE STRAPS AND CLOSURES, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION AND TERMINATES JUST INFERIOR TO SCAPULAR SPINE, ANTERIOR EXTENDS FROM SYMPHYSIS PUBIS TO STERNAL NOTCH, ANTERIOR OR POSTERIOR OPENING, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL, CORONAL, AND TRANSVERSE PLANES, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"
L0490,Spinal Orthoses: TLSO and LSO,"TLSO, SAGITTAL-CORONAL CONTROL, ONE PIECE RIGID PLASTIC SHELL, WITH OVERLAPPING REINFORCED ANTERIOR, WITH MULTIPLE STRAPS AND CLOSURES, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION AND TERMINATES AT OR BEFORE THE T-9 VERTEBRA, ANTERIOR EXTENDS FROM SYMPHYSIS PUBIS TO XIPHOID, ANTERIOR OPENING, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL AND CORONAL PLANES, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"
L0491,Spinal Orthoses: TLSO and LSO,"TLSO, SAGITTAL-CORONAL CONTROL, MODULAR SEGMENTED SPINAL SYSTEM, TWO RIGID PLASTIC SHELLS, POSTERIOR EXTENDS FROM THE SACROCOCCYGEAL JUNCTION AND TERMINATES JUST INFERIOR TO THE SCAPULAR SPINE, ANTERIOR EXTENDS FROM THE SYMPHYSIS PUBIS TO THE XIPHOID, SOFT LINER, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL AND CORONAL PLANES, LATERAL STRENGTH IS PROVIDED BY OVERLAPPING PLASTIC AND STABILIZING CLOSURES, INCLUDES STRAPS AND CLOSURES, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"
L0492,Spinal Orthoses: TLSO and LSO,"TLSO, SAGITTAL-CORONAL CONTROL, MODULAR SEGMENTED SPINAL SYSTEM, THREE RIGID PLASTIC SHELLS, POSTERIOR EXTENDS FROM THE SACROCOCCYGEAL JUNCTION AND TERMINATES JUST INFERIOR TO THE SCAPULAR SPINE, ANTERIOR EXTENDS FROM THE SYMPHYSIS PUBIS TO THE XIPHOID, SOFT LINER, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL AND CORONAL PLANES, LATERAL STRENGTH IS PROVIDED BY OVERLAPPING PLASTIC AND STABILIZING CLOSURES, INCLUDES STRAPS AND CLOSURES, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"
L0625,Spinal Orthoses: TLSO and LSO,"LUMBAR ORTHOSIS, FLEXIBLE, PROVIDES LUMBAR SUPPORT, POSTERIOR EXTENDS FROM L-1 TO BELOW L-5 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PENDULOUS ABDOMEN DESIGN, SHOULDER STRAPS, STAYS, PREFABRICATED, OFF-THE-SHELF"
L0626,Spinal Orthoses: TLSO and LSO,"LUMBAR ORTHOSIS, SAGITTAL CONTROL, WITH RIGID POSTERIOR PANEL(S), POSTERIOR EXTENDS FROM L-1 TO BELOW L-5 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0627,Spinal Orthoses: TLSO and LSO,"LUMBAR ORTHOSIS, SAGITTAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR PANELS, POSTERIOR EXTENDS FROM L-1 TO BELOW L-5 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0628,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, FLEXIBLE, PROVIDES LUMBO-SACRAL SUPPORT, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, OFF-THE-SHELF"
L0629,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, FLEXIBLE, PROVIDES LUMBO-SACRAL SUPPORT, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, CUSTOM FABRICATED"
L0630,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL CONTROL, WITH RIGID POSTERIOR PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0631,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR PANELS, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0632,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR PANELS, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, CUSTOM FABRICATED"
L0633,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, WITH RIGID POSTERIOR FRAME/PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANELS, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0634,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, WITH RIGID POSTERIOR FRAME/PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANEL(S), PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, CUSTOM FABRICATED"
L0635,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, LUMBAR FLEXION, RIGID POSTERIOR FRAME/PANEL(S), LATERAL ARTICULATING DESIGN TO FLEX THE LUMBAR SPINE, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANEL(S), PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, ANTERIOR PANEL, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"
L0636,Spinal Orthoses: TLSO and LSO,"LUMBAR SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, LUMBAR FLEXION, RIGID POSTERIOR FRAME/PANELS, LATERAL ARTICULATING DESIGN TO FLEX THE LUMBAR SPINE, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANELS, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, ANTERIOR PANEL, PENDULOUS ABDOMEN DESIGN, CUSTOM FABRICATED"
L0637,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR FRAME/PANELS, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANELS, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0638,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR FRAME/PANELS, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANELS, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, CUSTOM FABRICATED"
L0639,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, RIGID SHELL(S)/PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, ANTERIOR EXTENDS FROM SYMPHYSIS PUBIS TO XYPHOID, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, OVERALL STRENGTH IS PROVIDED BY OVERLAPPING RIGID MATERIAL AND STABILIZING CLOSURES, INCLUDES STRAPS, CLOSURES, MAY INCLUDE SOFT INTERFACE, PENDULOUS ABDOMEN DESIGN, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0640,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, RIGID SHELL(S)/PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, ANTERIOR EXTENDS FROM SYMPHYSIS PUBIS TO XYPHOID, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, OVERALL STRENGTH IS PROVIDED BY OVERLAPPING RIGID MATERIAL AND STABILIZING CLOSURES, INCLUDES STRAPS, CLOSURES, MAY INCLUDE SOFT INTERFACE, PENDULOUS ABDOMEN DESIGN, CUSTOM FABRICATED"
L0641,Spinal Orthoses: TLSO and LSO,"LUMBAR ORTHOSIS, SAGITTAL CONTROL, WITH RIGID POSTERIOR PANEL(S), POSTERIOR EXTENDS FROM L-1 TO BELOW L-5 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, OFF-THE-SHELF"
L0642,Spinal Orthoses: TLSO and LSO,"LUMBAR ORTHOSIS, SAGITTAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR PANELS, POSTERIOR EXTENDS FROM L-1 TO BELOW L-5 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, OFF-THE-SHELF"
L0643,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL CONTROL, WITH RIGID POSTERIOR PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, OFF-THE-SHELF"
L0648,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR PANELS, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, OFF-THE-SHELF"
L0649,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, WITH RIGID POSTERIOR FRAME/PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANELS, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, OFF-THE-SHELF"
