HCPCS,Mod,Mod2,CATG,TX (NR),TX (R),Description
A8003,UE,,IN,0,0,Hard protect helmet custom
A8004,NU,,IN,0,0,"Repl soft interface, helmet"
A8004,RR,,IN,0,0,"Repl soft interface, helmet"
A8004,UE,,IN,0,0,"Repl soft interface, helmet"
E0100,NU,,IN,27.93,0,Cane adjust/fixed with tip
E0100,RR,,IN,7.17,0,Cane adjust/fixed with tip
E0100,UE,,IN,20.94,0,Cane adjust/fixed with tip
E0105,NU,,IN,68.01,0,Cane adjust/fixed quad/3 pro
E0105,RR,,IN,10.74,0,Cane adjust/fixed quad/3 pro
E0105,UE,,IN,53.84,0,Cane adjust/fixed quad/3 pro
E0110,NU,,IN,101.72,0,Crutch forearm pair
E0110,RR,,IN,19.36,0,Crutch forearm pair
E0110,UE,,IN,76.28,0,Crutch forearm pair
E0111,NU,,IN,64.5,0,Crutch forearm each
E0111,RR,,IN,10.22,0,Crutch forearm each
E0111,UE,,IN,49.8,0,Crutch forearm each
E0112,NU,,IN,52.74,0,Crutch underarm pair wood
E0112,RR,,IN,12.04,0,Crutch underarm pair wood
E0112,UE,,IN,40.23,0,Crutch underarm pair wood
E0113,NU,,IN,26.09,0,Crutch underarm each wood
E0113,RR,,IN,6.22,0,Crutch underarm each wood
E0113,UE,,IN,19.6,0,Crutch underarm each wood
E0114,NU,,IN,58.68,0,Crutch underarm pair no wood
E0114,RR,,IN,10.38,0,Crutch underarm pair no wood
E0114,UE,,IN,44,0,Crutch underarm pair no wood
E0116,NU,,IN,33.62,0,Crutch underarm each no wood
E0116,RR,,IN,6.56,0,Crutch underarm each no wood
E0116,UE,,IN,25.3,0,Crutch underarm each no wood
E0117,RR,,CR,27.45,0,Underarm springassist crutch
E0130,NU,,IN,53.5,71.13,Walker rigid adjust/fixed ht
E0130,RR,,IN,5.35,11.88,Walker rigid adjust/fixed ht
E0130,UE,,IN,40.12,55.18,Walker rigid adjust/fixed ht
E0135,NU,,IN,53.5,82.59,Walker folding adjust/fixed
E0135,RR,,IN,5.35,12.12,Walker folding adjust/fixed
E0135,UE,,IN,40.12,62.83,Walker folding adjust/fixed
E0140,RR,,CR,32.13,41.3,Walker w trunk support
E0141,NU,,IN,59.71,97.6,Rigid wheeled walker adj/fix
E0141,RR,,IN,5.97,14.92,Rigid wheeled walker adj/fix
E0141,UE,,IN,44.78,73.22,Rigid wheeled walker adj/fix
E0143,NU,,IN,59.71,103.53,Walker folding wheeled w/o s
E0143,RR,,IN,5.97,14.51,Walker folding wheeled w/o s
E0143,UE,,IN,44.78,74.28,Walker folding wheeled w/o s
E0144,RR,,CR,34.36,36.75,Enclosed walker w rear seat
E0147,NU,,IN,499.84,631.58,Walker variable wheel resist
E0147,RR,,IN,49.98,63.16,Walker variable wheel resist
E0147,UE,,IN,374.88,473.69,Walker variable wheel resist
E0148,NU,,IN,97.28,134.5,Heavyduty walker no wheels
E0148,RR,,IN,9.73,13.46,Heavyduty walker no wheels
E0148,UE,,IN,72.96,100.87,Heavyduty walker no wheels
E0149,RR,,CR,13.86,21.71,Heavy duty wheeled walker
E0153,NU,,IN,98.9,0,Forearm crutch platform atta
E0153,RR,,IN,11.19,0,Forearm crutch platform atta
E0153,UE,,IN,74.15,0,Forearm crutch platform atta
E0154,NU,,IN,56.73,76.74,Walker platform attachment
E0154,RR,,IN,5.67,8.6,Walker platform attachment
E0154,UE,,IN,42.54,57.98,Walker platform attachment
E0155,NU,,IN,24.46,33.63,"Walker wheel attachment,pair"
E0155,RR,,IN,2.45,3.79,"Walker wheel attachment,pair"
E0155,UE,,IN,18.35,25.47,"Walker wheel attachment,pair"
E0156,NU,,IN,18.59,24.54,Walker seat attachment
E0156,RR,,IN,1.86,2.84,Walker seat attachment
E0156,UE,,IN,13.94,18.41,Walker seat attachment
E0157,NU,,IN,63.03,81.05,Walker crutch attachment
E0157,RR,,IN,6.3,8.53,Walker crutch attachment
E0157,UE,,IN,47.27,60.78,Walker crutch attachment
E0158,NU,,IN,25.09,33.8,Walker leg extenders set of4
E0158,RR,,IN,2.51,3.66,Walker leg extenders set of4
E0158,UE,,IN,18.82,25.35,Walker leg extenders set of4
E0159,NU,,IN,17.46,20.99,Brake for wheeled walker
E0159,RR,,IN,1.75,2.11,Brake for wheeled walker
E0159,UE,,IN,13.1,15.75,Brake for wheeled walker
E0160,NU,,IN,33.89,39.74,Sitz type bath or equipment
E0160,RR,,IN,3.39,4.6,Sitz type bath or equipment
E0160,UE,,IN,25.42,29.79,Sitz type bath or equipment
E0161,NU,,IN,28.55,31.77,Sitz bath/equipment w/faucet
E0161,RR,,IN,2.85,3.85,Sitz bath/equipment w/faucet
E0161,UE,,IN,21.42,23.78,Sitz bath/equipment w/faucet
E0162,NU,,IN,176.5,0,Sitz bath chair
E0162,RR,,IN,18.53,0,Sitz bath chair
E0162,UE,,IN,136.87,0,Sitz bath chair
E0163,NU,,IN,65.48,114.64,Commode chair with fixed arm
E0163,RR,,IN,6.55,21,Commode chair with fixed arm
E0163,UE,,IN,49.11,87.64,Commode chair with fixed arm
E0165,RR,,CR,14.74,21.6,Commode chair with detacharm
E0167,NU,,IN,13.21,15.91,Commode chair pail or pan
E0167,RR,,IN,1.32,1.59,Commode chair pail or pan
E0167,UE,,IN,9.91,12,Commode chair pail or pan
E0168,NU,,IN,139.28,187.48,Heavyduty/wide commode chair
E0168,RR,,IN,13.93,18.74,Heavyduty/wide commode chair
E0168,UE,,IN,104.46,140.6,Heavyduty/wide commode chair
E0170,RR,,CR,199.79,226.02,Commode chair electric
E0171,RR,,CR,37.61,41.22,Commode chair non-electric
E0175,NU,,IN,94.39,0,Commode chair foot rest
E0175,RR,,IN,9.44,0,Commode chair foot rest
E0175,UE,,IN,69.48,0,Commode chair foot rest
E0181,RR,,CR,19.84,29.19,Press pad alternating w/ pum
E0182,RR,,CR,25.75,30.07,"Replace pump, alt press pad"
E0183,RR,,CR,19.84,29.19,Press underlay alter w/pump
E0184,NU,,IN,190.07,227.82,Dry pressure mattress
E0184,RR,,IN,19.01,28.5,Dry pressure mattress
E0184,UE,,IN,142.55,172.86,Dry pressure mattress
E0185,NU,,IN,215.74,343.67,Gel pressure mattress pad
E0185,RR,,IN,21.57,43.6,Gel pressure mattress pad
E0185,UE,,IN,161.81,261.74,Gel pressure mattress pad
E0186,RR,,CR,22.95,27.24,Air pressure mattress
E0187,RR,,CR,26.88,31.07,Water pressure mattress
E0188,NU,,IN,28.49,32.02,Synthetic sheepskin pad
E0188,RR,,IN,2.85,3.56,Synthetic sheepskin pad
E0188,UE,,IN,21.37,24.05,Synthetic sheepskin pad
E0189,NU,,IN,63.87,71.01,Lambswool sheepskin pad
E0189,RR,,IN,6.39,7.4,Lambswool sheepskin pad
E0189,UE,,IN,47.91,53.26,Lambswool sheepskin pad
E0191,NU,,IN,13.34,0,Protector heel or elbow
E0191,RR,,IN,1.34,0,Protector heel or elbow
E0191,UE,,IN,10.02,0,Protector heel or elbow
E0193,RR,,CR,862.31,1029.05,Powered air flotation bed
E0194,RR,,CR,4226.58,0,Air fluidized bed
E0196,RR,,CR,39.1,44.79,Gel pressure mattress
E0197,RR,,CR,21.58,30.91,Air pressure pad for mattres
E0198,RR,,CR,26.85,0,Water pressure pad for mattr
E0199,NU,,IN,38.32,43.05,Dry pressure pad for mattres
E0199,RR,,IN,3.83,4.3,Dry pressure pad for mattres
E0199,UE,,IN,28.74,32.28,Dry pressure pad for mattres
E0200,NU,,IN,112.99,0,Heat lamp without stand
E0200,RR,,IN,15.34,0,Heat lamp without stand
E0200,UE,,IN,84.79,0,Heat lamp without stand
E0201,NU,,IN,146.52,0,Penile contractur devic manu
E0201,RR,,IN,14.65,0,Penile contractur devic manu
E0201,UE,,IN,109.89,0,Penile contractur devic manu
E0202,RR,,CR,89.25,0,Phototherapy light w/ photom
E0205,NU,,IN,276.56,0,Heat lamp with stand
E0205,RR,,IN,30.43,0,Heat lamp with stand
E0205,UE,,IN,207.43,0,Heat lamp with stand
E0210,NU,,IN,39.56,0,Electric heat pad standard
E0210,RR,,IN,3.73,0,Electric heat pad standard
E0210,UE,,IN,29.64,0,Electric heat pad standard
E0215,NU,,IN,100.96,0,Electric heat pad moist
E0215,RR,,IN,10.57,0,Electric heat pad moist
E0215,UE,,IN,75.74,0,Electric heat pad moist
E0217,NU,,IN,707.53,0,Water circ heat pad w pump
E0217,RR,,IN,78.76,0,Water circ heat pad w pump
E0217,UE,,IN,530.61,0,Water circ heat pad w pump
E0225,NU,,IN,553.88,0,Hydrocollator unit
E0225,RR,,IN,54.59,0,Hydrocollator unit
E0225,UE,,IN,415.42,0,Hydrocollator unit
E0235,RR,,CR,24.58,0,Paraffin bath unit portable
E0236,RR,,CR,63.06,0,Pump for water circulating p
E0239,NU,,IN,641.07,0,Hydrocollator unit portable
E0239,RR,,IN,64.12,0,Hydrocollator unit portable
E0239,UE,,IN,480.82,0,Hydrocollator unit portable
E0249,NU,,IN,141.94,0,Pad water circulating heat u
E0249,RR,,IN,15.6,0,Pad water circulating heat u
E0249,UE,,IN,106.45,0,Pad water circulating heat u
E0250,RR,,CR,77.21,101.57,Hosp bed fixed ht w/ mattres
E0251,RR,,CR,72.34,84.54,Hosp bed fixd ht w/o mattres
E0255,RR,,CR,77.5,113.99,Hospital bed var ht w/ mattr
E0256,RR,,CR,75.8,91.81,Hospital bed var ht w/o matt
E0260,RR,,CR,77.5,128.14,Hosp bed semi-electr w/ matt
E0261,RR,,CR,77.5,125.94,Hosp bed semi-electr w/o mat
E0265,RR,,CR,184.01,214.77,Hosp bed total electr w/ mat
E0266,RR,,CR,160.11,189.13,Hosp bed total elec w/o matt
E0271,NU,,IN,149.22,210.9,Mattress innerspring
E0271,RR,,IN,14.92,21.09,Mattress innerspring
E0271,UE,,IN,111.91,158.17,Mattress innerspring
E0272,NU,,IN,167.82,209.46,Mattress foam rubber
E0272,RR,,IN,16.78,20.94,Mattress foam rubber
E0272,UE,,IN,125.86,157.1,Mattress foam rubber
E0275,NU,,IN,17.47,20.45,Bed pan standard
E0275,RR,,IN,1.75,2.1,Bed pan standard
E0275,UE,,IN,13.1,15.33,Bed pan standard
E0276,NU,,IN,15.21,17.68,Bed pan fracture
E0276,RR,,IN,1.52,1.94,Bed pan fracture
E0276,UE,,IN,11.41,13.64,Bed pan fracture
E0277,RR,,CR,256.63,563.56,Powered pres-redu air mattrs
E0280,NU,,IN,38.91,44.88,Bed cradle
E0280,RR,,IN,3.89,4.67,Bed cradle
E0280,UE,,IN,29.18,33.66,Bed cradle
E0290,RR,,CR,72.77,84.85,Hosp bed fx ht w/o rails w/m
E0291,RR,,CR,56.32,63.66,Hosp bed fx ht w/o rail w/o
E0292,RR,,CR,77.31,92.72,Hosp bed var ht no sr w/matt
E0293,RR,,CR,72.87,82.32,Hosp bed var ht no sr no mat
E0294,RR,,CR,77.5,122.09,Hosp bed semi-elect w/ mattr
E0295,RR,,CR,77.5,120.04,Hosp bed semi-elect w/o matt
E0296,RR,,CR,143.57,172.63,Hosp bed total elect w/ matt
E0297,RR,,CR,126.69,149.74,Hosp bed total elect w/o mat
E0300,RR,,CR,319.91,334.29,Enclosed ped crib hosp grade
E0301,RR,,CR,203.06,276.19,"Hd hosp bed, 350-600 lbs"
E0302,RR,,CR,588.98,760.81,Ex hd hosp bed > 600 lbs
E0303,RR,,CR,206.65,298.13,Hosp bed hvy dty xtra wide
E0304,RR,,CR,595.97,803.56,Hosp bed xtra hvy dty x wide
E0305,RR,,CR,13.48,18.28,Rails bed side half length
E0310,NU,,IN,137.13,188.44,Rails bed side full length
E0310,RR,,IN,13.71,21.41,Rails bed side full length
E0310,UE,,IN,102.85,147.54,Rails bed side full length
E0316,RR,,CR,237.03,237.03,Bed safety enclosure
E0325,NU,,IN,11.75,13.44,Urinal male jug-type
E0325,RR,,IN,1.17,1.7,Urinal male jug-type
E0325,UE,,IN,8.81,9.44,Urinal male jug-type
E0326,NU,,IN,12.13,14.15,Urinal female jug-type
E0326,RR,,IN,1.21,1.51,Urinal female jug-type
E0326,UE,,IN,9.1,10.62,Urinal female jug-type
E0371,RR,,CR,256.63,404.35,Nonpower mattress overlay
E0372,RR,,CR,256.63,462.75,Powered air mattress overlay
E0373,RR,,CR,256.63,508.9,Nonpowered pressure mattress
E0424,RR,,OX,98.16,177.16,Stationary compressed gas 02
E0424,RR,QB,OX,98.16,177.16,Stationary compressed gas 02
E0424,RR,QF,OX,98.16,177.16,Stationary compressed gas 02
E0431,RR,,OX,22.11,31.64,Portable gaseous 02
E0431,RR,QB,OX,49.08,88.58,Portable gaseous 02
E0431,RR,QF,OX,49.08,88.58,Portable gaseous 02
E0433,RR,,OX,47.17,51.63,Portable liquid oxygen sys
E0433,RR,QB,OX,49.08,88.58,Portable liquid oxygen sys
E0433,RR,QF,OX,49.08,88.58,Portable liquid oxygen sys
E0434,RR,,OX,47.17,51.63,Portable liquid 02
E0434,RR,QB,OX,49.08,88.58,Portable liquid 02
E0434,RR,QF,OX,49.08,88.58,Portable liquid 02
E0439,RR,,OX,98.16,177.16,Stationary liquid 02
E0439,RR,QB,OX,98.16,177.16,Stationary liquid 02
E0439,RR,QF,OX,98.16,177.16,Stationary liquid 02
E0441,,,OX,67.83,75.84,"Stationary o2 contents, gas"
E0442,,,OX,67.83,75.84,"Stationary o2 contents, liq"
E0443,,,OX,61.47,72.41,"Portable 02 contents, gas"
E0444,,,OX,61.47,72.41,"Portable 02 contents, liquid"
E0447,,,OX,92.2,109.97,"Port o2 cont, liq over 4 lpm"
E0462,RR,,CR,415.3,0,Rocking bed w/ or w/o side r
E0465,RR,,FS,1360.33,0,Home vent invasive interface
E0466,RR,,FS,1360.33,0,Home vent non-invasive inter
E0467,RR,,FS,1572.28,1599.32,Home vent multi-function
E0468,RR,,FS,1462.47,0,home vent dual
E0469,RR,,CR,1567.38,0,Lung expans high oscil neb
E0470,RR,,CR,133.39,232.1,Rad w/o backup non-inv intfc
E0471,RR,,CR,324.35,520.32,Rad w/backup non inv intrfc
E0472,RR,,CR,493.84,612.28,Rad w backup invasive intrfc
E0480,RR,,CR,62.64,0,Percussor elect/pneum home m
E0482,RR,,CR,612.86,0,Cough stimulating device
E0483,RR,,CR,1515.12,0,Hi freq chest wall oscil sys
E0484,NU,,IN,52.64,0,Non-elec oscillatory pep dvc
E0484,RR,,IN,5.26,0,Non-elec oscillatory pep dvc
E0484,UE,,IN,39.48,0,Non-elec oscillatory pep dvc
E0485,NU,,IN,0,0,Oral device/appliance prefab
E0485,RR,,IN,0,0,Oral device/appliance prefab
E0485,UE,,IN,0,0,Oral device/appliance prefab
E0486,NU,,IN,0,0,Oral device/appliance cusfab
E0486,RR,,IN,0,0,Oral device/appliance cusfab
E0486,UE,,IN,0,0,Oral device/appliance cusfab
E0490,RR,,CR,127.58,0,Control unit nm hw remote
E0491,,,IN,105.37,0,Oral dv nm mouthpc hw remote
E0500,RR,,FS,156.43,0,Ippb all types
E0530,RR,,CR,37.12,0,Electronic posa treatment
E0550,RR,,CR,71.45,0,Humidif extens supple w ippb
E0560,NU,,IN,210.66,0,Humidifier supplemental w/ i
E0560,RR,,IN,22.77,0,Humidifier supplemental w/ i
E0560,UE,,IN,158.01,0,Humidifier supplemental w/ i
E0561,NU,,IN,85.78,115.59,Humidifier nonheated w pap
E0561,RR,,IN,8.58,11.55,Humidifier nonheated w pap
E0561,UE,,IN,64.34,86.69,Humidifier nonheated w pap
E0562,NU,,IN,169.81,280.29,Humidifier heated used w pap
E0562,RR,,IN,16.98,28.02,Humidifier heated used w pap
E0562,UE,,IN,127.36,210.21,Humidifier heated used w pap
E0565,RR,,CR,52.58,72.35,Compressor air power source
E0570,RR,,CR,7.15,15.43,Nebulizer with compression
E0572,RR,,CR,29.16,46.86,Aerosol compressor adjust pr
E0574,RR,,CR,57.36,0,Ultrasonic generator w svneb
E0575,RR,,CR,146.48,0,Nebulizer ultrasonic
E0580,NU,,IN,164.65,164.65,Nebulizer for use w/ regulat
E0580,RR,,IN,16.47,16.47,Nebulizer for use w/ regulat
E0580,UE,,IN,123.47,123.47,Nebulizer for use w/ regulat
E0585,RR,,CR,32.17,44.44,Nebulizer w/ compressor & he
E0600,RR,,CR,65.25,0,Suction pump portab hom modl
E0601,RR,,CR,50.91,91.52,Cont airway pressure device
E0602,NU,,IN,42.06,0,Manual breast pump
E0602,RR,,IN,4.24,0,Manual breast pump
E0602,UE,,IN,31.56,0,Manual breast pump
E0605,NU,,IN,37.64,0,Vaporizer room type
E0605,RR,,IN,4.39,0,Vaporizer room type
E0605,UE,,IN,31.04,0,Vaporizer room type
E0606,RR,,CR,28.7,0,Drainage board postural
E0607,NU,,IN,95.23,0,Blood glucose monitor home
E0607,RR,,IN,9.52,0,Blood glucose monitor home
E0607,UE,,IN,71.4,0,Blood glucose monitor home
E0610,NU,,IN,338.97,0,Pacemaker monitr audible/vis
E0610,RR,,IN,35.75,0,Pacemaker monitr audible/vis
E0610,UE,,IN,254.26,0,Pacemaker monitr audible/vis
E0615,NU,,IN,682.34,0,Pacemaker monitr digital/vis
E0615,RR,,IN,83.37,0,Pacemaker monitr digital/vis
E0615,UE,,IN,511.82,0,Pacemaker monitr digital/vis
E0617,RR,,CR,433.3,0,Automatic ext defibrillator
E0617,RR,KF,CR,481.08,0,Automatic ext defibrillator
E0618,RR,,CR,339.62,0,Apnea monitor
E0619,RR,,CR,0,0,Apnea monitor w recorder
E0620,RR,,CR,124.59,0,Cap bld skin piercing laser
E0621,NU,,IN,105.97,125.54,Patient lift sling or seat
E0621,RR,,IN,10.6,12.3,Patient lift sling or seat
E0621,UE,,IN,79.47,94.42,Patient lift sling or seat
E0627,NU,,IN,318.31,415.05,"Seat lift mech, electric any"
E0627,RR,,IN,31.83,41.47,"Seat lift mech, electric any"
E0627,UE,,IN,238.73,311.27,"Seat lift mech, electric any"
E0629,NU,,IN,312.43,413.01,"Seat lift mech, non-electric"
E0629,RR,,IN,31.24,41.27,"Seat lift mech, non-electric"
E0629,UE,,IN,234.32,309.74,"Seat lift mech, non-electric"
E0630,RR,,CR,72.82,112.76,Patient lift hydraulic
E0635,RR,,CR,157.25,167.36,Patient lift electric
E0636,RR,,CR,1240.1,1426.3,Pt support & positioning sys
E0639,RR,,CR,158.98,0,Moveable patient lift system
E0640,RR,,CR,158.98,0,Fixed patient lift system
E0650,NU,,IN,996.12,0,Pneuma compresor non-segment
E0650,RR,,IN,114.65,0,Pneuma compresor non-segment
E0650,UE,,IN,747.1,0,Pneuma compresor non-segment
E0651,NU,,IN,1308.85,0,Pneum compressor segmental
E0651,RR,,IN,130.88,0,Pneum compressor segmental
E0651,UE,,IN,981.68,0,Pneum compressor segmental
E0652,NU,,IN,7555.31,0,Pneum compres w/cal pressure
E0652,RR,,IN,746.69,0,Pneum compres w/cal pressure
E0652,UE,,IN,5661.42,0,Pneum compres w/cal pressure
E0655,NU,,IN,149,0,Pneumatic appliance half arm
E0655,RR,,IN,15.37,0,Pneumatic appliance half arm
E0655,UE,,IN,111.71,0,Pneumatic appliance half arm
E0656,RR,,CR,82.35,0,Segmental pneumatic trunk
E0657,RR,,CR,77.37,0,Segmental pneumatic chest
E0658,RR,,CR,179.15,0,Seg pneum comp 2 arm chest
E0659,RR,,CR,179.15,0,Seg pneum comp head neck che
E0660,NU,,IN,227.66,0,Pneumatic appliance full leg
E0660,RR,,IN,23.18,0,Pneumatic appliance full leg
E0660,UE,,IN,170.74,0,Pneumatic appliance full leg
E0665,NU,,IN,195.25,0,Pneumatic appliance full arm
E0665,RR,,IN,19.69,0,Pneumatic appliance full arm
E0665,UE,,IN,146.61,0,Pneumatic appliance full arm
E0666,NU,,IN,196.8,0,Pneumatic appliance half leg
E0666,RR,,IN,20.19,0,Pneumatic appliance half leg
E0666,UE,,IN,147.62,0,Pneumatic appliance half leg
E0667,NU,,IN,461.41,0,Seg pneumatic appl full leg
E0667,RR,,IN,52.1,0,Seg pneumatic appl full leg
E0667,UE,,IN,346.08,0,Seg pneumatic appl full leg
E0668,NU,,IN,629.74,0,Seg pneumatic appl full arm
E0668,RR,,IN,62.15,0,Seg pneumatic appl full arm
E0668,UE,,IN,472.32,0,Seg pneumatic appl full arm
E0669,NU,,IN,248.06,0,Seg pneumatic appli half leg
E0669,RR,,IN,24.8,0,Seg pneumatic appli half leg
E0669,UE,,IN,186.06,0,Seg pneumatic appli half leg
E0670,NU,,IN,1791.47,0,Seg pneum int legs/trunk
E0670,RR,,IN,191.77,0,Seg pneum int legs/trunk
E0670,UE,,IN,1343.53,0,Seg pneum int legs/trunk
E0671,NU,,IN,591.94,0,Pressure pneum appl full leg
E0671,RR,,IN,59.23,0,Pressure pneum appl full leg
E0671,UE,,IN,443.91,0,Pressure pneum appl full leg
E0672,NU,,IN,459.92,0,Pressure pneum appl full arm
E0672,RR,,IN,46.03,0,Pressure pneum appl full arm
E0672,UE,,IN,344.96,0,Pressure pneum appl full arm
E0673,NU,,IN,382.16,0,Pressure pneum appl half leg
E0673,RR,,IN,38.22,0,Pressure pneum appl half leg
E0673,UE,,IN,286.68,0,Pressure pneum appl half leg
E0675,RR,,CR,548.03,0,Pneumatic compression device
E0677,RR,,CR,82.35,0,Non pneum seq comp trunk
E0678,RR,,CR,46.14,0,Non pneum seq comp full leg
E0679,RR,,CR,24.81,0,Non pneum seq comp half leg
E0680,RR,,CR,755.53,0,Non pneum comp control cal
E0681,RR,,CR,130.89,0,Non pneu comp control w/o ca
E0682,RR,,CR,62.97,0,Non pneum compress full arm
E0683,RR,,CR,81.53,0,Non pneu peristalic comp pmp
E0691,NU,,IN,1280.61,0,Uvl pnl 2 sq ft or less
E0691,RR,,IN,128.05,0,Uvl pnl 2 sq ft or less
E0691,UE,,IN,960.46,0,Uvl pnl 2 sq ft or less
E0692,NU,,IN,1608.1,0,Uvl sys panel 4 ft
E0692,RR,,IN,160.78,0,Uvl sys panel 4 ft
E0692,UE,,IN,1206.07,0,Uvl sys panel 4 ft
E0693,NU,,IN,1982.33,0,Uvl sys panel 6 ft
E0693,RR,,IN,198.25,0,Uvl sys panel 6 ft
E0693,UE,,IN,1486.74,0,Uvl sys panel 6 ft
E0694,NU,,IN,6309.58,0,Uvl md cabinet sys 6 ft
E0694,RR,,IN,630.95,0,Uvl md cabinet sys 6 ft
E0694,UE,,IN,4732.22,0,Uvl md cabinet sys 6 ft
E0705,NU,,IN,56.31,64.97,Transfer device
E0705,NU,KU,IN,66.79,0,Transfer device
E0705,RR,,IN,5.63,6.55,Transfer device
E0705,RR,KU,IN,6.79,0,Transfer device
E0705,UE,,IN,42.23,48.16,Transfer device
E0705,UE,KU,IN,48.95,0,Transfer device
E0720,NU,,TE,70.84,294.92,Tens two lead
E0730,NU,,TE,70.37,301.09,Tens four lead
E0731,NU,,IN,90.25,273.27,Conductive garment for tens/
E0732,RR,,CR,49.84,0,Ces system
E0733,RR,,CR,49.84,0,Trans elec nerv for trigemin
E0734,RR,,CR,448.33,0,Ext up limb tremor stim wris
E0735,RR,,CR,49.84,0,Non-invasive vagus nerv stim
E0736,RR,,CR,49.84,0,Transcut tibial nerv stimula
E0738,RR,,CR,2039.64,0,Upper extremity rehab
E0739,RR,,CR,1597.66,0,Rehab sys active assist rt
E0740,RR,,CR,74.52,0,Non-implant pelv flr e-stim
E0743,RR,,CR,242.2,0,Ext low ext nerve stimu rls
E0744,RR,,CR,110.93,0,Neuromuscular stim for scoli
E0745,RR,,CR,127.58,0,Neuromuscular stim for shock
E0747,NU,KF,IN,5580.94,0,Elec osteogen stim not spine
E0747,RR,KF,IN,554.57,0,Elec osteogen stim not spine
E0747,UE,KF,IN,4146.53,0,Elec osteogen stim not spine
E0748,NU,KF,IN,5544.8,0,Elec osteogen stim spinal
E0748,RR,KF,IN,554.44,0,Elec osteogen stim spinal
E0748,UE,KF,IN,4158.61,0,Elec osteogen stim spinal
E0749,RR,KF,CR,405.26,0,Elec osteogen stim implanted
E0760,NU,KF,IN,4607.62,0,Osteogen ultrasound stimltor
E0760,RR,KF,IN,460.76,0,Osteogen ultrasound stimltor
E0760,UE,KF,IN,3455.67,0,Osteogen ultrasound stimltor
E0762,RR,,CR,133.2,0,Trans elec jt stim dev sys
E0764,RR,KF,CR,1577.14,0,Functional neuromuscularstim
E0766,RR,KF,FS,16384.73,0,Elec stim cancer treatment
E0776,NU,,IN,173.42,173.42,Iv pole
E0776,RR,,IN,18.37,20.48,Iv pole
E0776,UE,,IN,127.6,127.6,Iv pole
E0779,RR,,CR,23.83,23.83,Amb infusion pump mechanical
E0780,NU,,IN,14.78,14.78,Mech amb infusion pump <8hrs
E0781,RR,,CR,309.33,343.4,External ambulatory infus pu
E0782,NU,KF,IN,5458.44,0,Non-programble infusion pump
E0782,RR,KF,IN,545.8,0,Non-programble infusion pump
E0782,UE,KF,IN,4093.81,0,Non-programble infusion pump
E0783,NU,KF,IN,11587.61,0,Programmable infusion pump
E0783,RR,KF,IN,1158.82,0,Programmable infusion pump
E0783,UE,KF,IN,8690.74,0,Programmable infusion pump
E0784,RR,,CR,557.75,576.36,Ext amb infusn pump insulin
E0785,KF,,IN,673.39,0,Replacement impl pump cathet
E0786,NU,KF,IN,10970.16,0,Implantable pump replacement
E0786,RR,KF,IN,1097.03,0,Implantable pump replacement
E0786,UE,KF,IN,8227.64,0,Implantable pump replacement
E0791,RR,,CR,367.48,409.05,Parenteral infusion pump sta
E0840,NU,,IN,88.76,0,Tract frame attach headboard
E0840,RR,,IN,21.86,0,Tract frame attach headboard
E0840,UE,,IN,66.55,0,Tract frame attach headboard
E0849,RR,,CR,73.45,0,Cervical pneum trac equip
E0850,NU,,IN,149.71,0,Traction stand free standing
E0850,RR,,IN,17.48,0,Traction stand free standing
E0850,UE,,IN,112.29,0,Traction stand free standing
E0855,RR,,CR,70.44,0,Cervical traction equipment
E0856,RR,,CR,21.93,0,Cervic collar w air bladders
E0860,NU,,IN,46.68,0,Tract equip cervical tract
E0860,RR,,IN,7.9,0,Tract equip cervical tract
E0860,UE,,IN,35.74,0,Tract equip cervical tract
E0870,NU,,IN,165.77,0,Tract frame attach footboard
E0870,RR,,IN,19.11,0,Tract frame attach footboard
E0870,UE,,IN,124.88,0,Tract frame attach footboard
E0880,NU,,IN,158.57,0,Trac stand free stand extrem
E0880,RR,,IN,23.88,0,Trac stand free stand extrem
E0880,UE,,IN,118.92,0,Trac stand free stand extrem
E0890,NU,,IN,171.58,0,Traction frame attach pelvic
E0890,RR,,IN,39.78,0,Traction frame attach pelvic
E0890,UE,,IN,138.23,0,Traction frame attach pelvic
E0900,NU,,IN,168.07,0,Trac stand free stand pelvic
E0900,RR,,IN,33.46,0,Trac stand free stand pelvic
E0900,UE,,IN,126.07,0,Trac stand free stand pelvic
E0910,RR,,CR,13.56,19.86,Trapeze bar attached to bed
E0911,RR,,CR,51.7,59.36,Hd trapeze bar attach to bed
E0912,RR,,CR,102.18,126.09,Hd trapeze bar free standing
E0920,RR,,CR,65.78,0,Fracture frame attached to b
E0930,RR,,CR,65.1,0,Fracture frame free standing
E0935,RR,,FS,32.42,0,Cont pas motion exercise dev
E0940,RR,,CR,25.65,35.72,Trapeze bar free standing
E0941,RR,,CR,61.85,0,Gravity assisted traction de
E0942,NU,,IN,28.28,0,Cervical head harness/halter
E0942,RR,,IN,3.36,0,Cervical head harness/halter
E0942,UE,,IN,21.17,0,Cervical head harness/halter
E0944,NU,,IN,55.56,0,Pelvic belt/harness/boot
E0944,RR,,IN,5.59,0,Pelvic belt/harness/boot
E0944,UE,,IN,41.68,0,Pelvic belt/harness/boot
E0945,NU,,IN,53.69,0,Belt/harness extremity
E0945,RR,,IN,5.36,0,Belt/harness extremity
E0945,UE,,IN,41.57,0,Belt/harness extremity
