HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,AL (NR),AL (R),AR (NR),AR (R),AZ (NR),AZ (R),CA (NR),CA (R),CO (NR),CO (R),CT (NR),CT (R),DC (NR),DC (R),DE (NR),DE (R),FL (NR),FL (R),GA (NR),GA (R),IA (NR),IA (R),ID (NR),ID (R),IL (NR),IL (R),IN (NR),IN (R),KS (NR),KS (R),KY (NR),KY (R),LA (NR),LA (R),MA (NR),MA (R),MD (NR),MD (R),ME (NR),ME (R),MI (NR),MI (R),MN (NR),MN (R),MO (NR),MO (R),MS (NR),MS (R),MT (NR),MT (R),NC (NR),NC (R),ND (NR),ND (R),NE (NR),NE (R),NH (NR),NH (R),NJ (NR),NJ (R),NM (NR),NM (R),NV (NR),NV (R),NY (NR),NY (R),OH (NR),OH (R),OK (NR),OK (R),OR (NR),OR (R),PA (NR),PA (R),RI (NR),RI (R),SC (NR),SC (R),SD (NR),SD (R),TN (NR),TN (R),TX (NR),TX (R),UT (NR),UT (R),VA (NR),VA (R),VT (NR),VT (R),WA (NR),WA (R),WI (NR),WI (R),WV (NR),WV (R),WY (NR),WY (R),AK (NR),AK (R),HI (NR),HI (R),PR (NR),PR (R),VI (NR),VI (R),Description
E0186,RR,,D,CR,0,0,22.53,24.59,22.53,24.59,22.95,27.24,23.9,27.24,22.6,27.24,24.06,27.24,23.75,27.24,23.75,27.24,22.53,27.24,22.53,24.59,22.9,26.36,22.6,27.24,24.04,24.59,24.04,24.59,22.9,24.59,22.53,24.59,22.53,24.87,24.06,24.59,23.75,27.24,24.06,24.59,24.04,27.24,22.9,24.59,22.9,27.24,22.53,24.59,22.6,24.59,22.53,24.59,22.9,27.24,22.9,24.59,24.06,24.59,23.75,27.24,22.95,24.59,23.9,27.24,23.75,27.24,24.04,27.24,22.95,24.59,23.9,27.24,23.75,27.24,24.06,26.03,22.53,24.59,22.9,27.24,22.53,24.59,22.95,27.24,22.6,24.59,22.53,27.24,24.06,24.59,23.9,27.24,24.04,27.24,22.53,27.24,22.6,27.24,52.59,0,54.5,0,59.47,0,28.93,0,Air pressure mattress
E0187,RR,,D,CR,0,0,24.56,31.07,24.56,28.12,26.88,30.5,27.4,31.07,25.43,31.07,27.42,31.07,27.43,31.07,27.43,31.07,24.56,28.93,24.56,28.12,26.44,31.07,25.43,31.07,28.12,28.12,28.12,28.12,26.44,31.07,24.56,30.89,24.56,28.12,27.42,28.12,27.43,31.07,27.42,28.12,28.36,31.07,26.44,28.12,26.44,28.12,24.56,28.12,25.43,28.12,24.56,28.12,26.44,31.07,26.44,31.07,27.42,28.12,27.43,30.62,26.88,28.12,27.4,31.07,27.43,31.07,28.36,31.07,26.88,29.25,27.4,31.07,27.43,31.07,27.42,28.12,24.56,28.12,26.44,31.07,24.56,28.12,26.88,31.07,25.43,28.12,24.56,31.07,27.42,28.12,27.4,31.07,28.36,31.07,24.56,31.07,25.43,31.07,55.24,0,58.97,0,63.95,0,33.07,0,Water pressure mattress
E0188,NU,,D,IN,0,0,30.06,32.02,30.06,35.67,28.49,35.67,31.44,35.67,29.75,32.02,29.48,32.02,30.64,35.67,30.64,35.67,30.06,32.02,30.06,35.67,32.44,34.7,29.75,33.92,32.51,35.67,32.51,35.67,32.44,35.67,30.06,35.67,30.06,35.67,29.48,32.02,30.64,35.67,29.48,32.02,32.28,32.28,32.44,35.26,32.44,35.67,30.06,35.67,29.75,35.67,30.06,35.67,32.02,32.02,32.02,32.02,29.48,32.02,30.64,35.67,28.49,32.02,31.44,35.67,30.64,32.02,32.51,35.67,28.49,35.67,31.44,35.67,30.64,35.67,29.48,32.02,30.06,35.67,32.02,32.02,30.06,35.67,28.49,32.02,29.75,34.98,30.06,35.67,29.48,32.02,31.44,35.67,32.51,35.67,30.06,35.67,29.75,34.59,54.96,0,43.83,0,46.47,0,32.95,0,Synthetic sheepskin pad
E0188,RR,,D,IN,0,0,3.01,3.56,3.01,3.9,2.85,3.9,3.14,3.89,2.98,3.56,2.95,3.56,3.07,3.9,3.07,3.9,3.01,3.56,3.01,3.9,3.24,3.56,2.98,3.56,3.25,3.9,3.25,3.9,3.24,3.9,3.01,3.9,3.01,3.9,2.95,3.56,3.07,3.9,2.95,3.56,3.25,3.56,3.24,3.56,3.24,3.9,3.01,3.9,2.98,3.9,3.01,3.9,3.24,3.56,3.24,3.56,2.95,3.56,3.07,3.9,2.85,3.56,3.14,3.9,3.07,3.56,3.25,3.9,2.85,3.9,3.14,3.87,3.07,3.9,2.95,3.56,3.01,3.9,3.24,3.56,3.01,3.9,2.85,3.56,2.98,3.56,3.01,3.9,2.95,3.56,3.14,3.87,3.25,3.9,3.01,3.9,2.98,3.56,5.5,0,4.38,0,4.66,0,4.39,0,Synthetic sheepskin pad
E0188,UE,,D,IN,0,0,22.54,24.05,22.54,26.77,21.37,26.77,23.59,26.77,22.32,24.05,22.11,24.05,22.98,26.77,22.98,26.77,22.54,24.05,22.54,26.77,24.33,26.03,22.32,25.45,24.39,26.77,24.39,26.77,24.05,24.05,22.54,26.77,22.54,26.77,22.11,24.05,22.98,26.77,22.11,24.05,24.19,24.19,24.33,26.45,24.33,26.77,22.54,26.77,22.32,26.77,22.54,26.77,24.05,24.05,24.05,24.05,22.11,24.05,22.98,26.77,21.37,24.05,23.59,26.77,22.98,24.05,24.39,26.77,21.37,26.77,23.59,26.77,22.98,26.77,22.11,24.05,22.54,26.77,24.05,24.05,22.54,26.77,21.37,24.05,22.32,26.23,22.54,26.77,22.11,24.05,23.59,26.77,24.39,26.77,22.54,26.77,22.32,25.93,41.22,0,32.85,0,34.85,0,24.05,0,Synthetic sheepskin pad
E0189,NU,,D,IN,0,0,62.41,71.01,62.41,62.95,63.87,71.01,60.46,71.01,61.87,62.95,62.95,62.95,57.53,62.95,57.53,62.95,62.41,71.01,62.41,71.01,62.94,62.95,61.87,71.01,61.19,71.01,61.19,71.01,62.94,62.95,62.41,68.16,62.41,62.95,63.37,71.01,57.53,71.01,63.37,71.01,61.19,62.95,62.94,71.01,62.94,70.56,62.41,62.95,61.87,70.42,62.41,71.01,62.94,62.95,62.94,62.95,63.37,71.01,57.53,62.95,63.87,71.01,60.46,71.01,57.53,62.95,61.19,62.95,63.87,71.01,60.46,62.95,57.53,62.95,63.37,71.01,62.41,71.01,62.94,62.95,62.41,71.01,63.87,71.01,61.87,62.95,62.41,71.01,63.37,71.01,60.46,62.95,61.19,71.01,62.41,71.01,61.87,69.73,135.41,0,140.43,0,143.01,0,74.06,0,Lambswool sheepskin pad
E0189,RR,,D,IN,0,0,6.24,7.4,6.24,6.8,6.39,7.4,6.04,7.4,6.19,6.8,6.34,6.8,5.75,7.4,5.75,7.4,6.24,7.4,6.24,7.4,6.3,6.8,6.19,7.4,6.12,7.4,6.12,7.4,6.3,6.8,6.24,6.81,6.24,6.8,6.34,7.19,5.75,7.4,6.34,7.19,6.12,6.8,6.3,7.4,6.3,7.05,6.24,6.8,6.19,7.05,6.24,7.4,6.3,6.8,6.3,6.8,6.34,7.19,5.75,7.4,6.39,7.4,6.04,7.4,5.75,6.8,6.12,7.4,6.39,7.4,6.04,6.8,5.75,7.4,6.34,7.08,6.24,7.4,6.3,6.8,6.24,7.4,6.39,7.4,6.19,6.8,6.24,7.4,6.34,7.19,6.04,6.8,6.12,7.4,6.24,7.4,6.19,6.97,13.54,0,14.04,0,14.31,0,8.01,0,Lambswool sheepskin pad
E0189,UE,,D,IN,0,0,46.81,53.26,46.81,47.21,47.91,53.26,45.35,53.26,46.41,47.21,47.21,47.21,43.15,47.21,43.15,47.21,46.81,53.26,46.81,53.26,47.21,47.21,46.41,53.26,45.89,53.26,45.89,53.26,47.21,47.21,46.81,51.11,46.81,47.21,47.53,53.26,43.15,53.26,47.53,53.26,45.89,47.21,47.21,53.26,47.21,52.94,46.81,47.21,46.41,52.82,46.81,53.26,47.21,47.21,47.21,47.21,47.53,53.26,43.15,47.21,47.91,53.26,45.35,53.26,43.15,47.21,45.89,47.21,47.91,53.26,45.35,47.21,43.15,47.21,47.53,53.26,46.81,53.26,47.21,47.21,46.81,53.26,47.91,53.26,46.41,47.21,46.81,53.26,47.53,53.26,45.35,47.21,45.89,53.26,46.81,53.26,46.41,52.31,101.56,0,105.31,0,107.26,0,54.76,0,Lambswool sheepskin pad
E0191,NU,,D,IN,14.24,12.1,14.24,0,13.35,0,12.1,0,12.33,0,14.24,0,12.1,0,14.24,0,14.24,0,13.17,0,12.1,0,12.1,0,14.24,0,14.24,0,13.16,0,12.1,0,14.24,0,13.7,0,14.24,0,14.24,0,14.24,0,14.24,0,13.16,0,12.1,0,13.68,0,14.24,0,12.1,0,14.24,0,12.1,0,14.24,0,14.24,0,14.24,0,12.1,0,12.1,0,14.17,0,14.24,0,12.1,0,14.24,0,14.24,0,12.1,0,14.24,0,12.1,0,13.34,0,14.24,0,14.24,0,14.24,0,12.1,0,14.24,0,14.17,0,14.24,0,12.48,0,13.34,0,18.08,0,12.1,0,Protector heel or elbow
E0191,RR,,D,IN,1.47,1.25,1.47,0,1.34,0,1.47,0,1.25,0,1.47,0,1.25,0,1.47,0,1.47,0,1.31,0,1.25,0,1.25,0,1.47,0,1.47,0,1.31,0,1.25,0,1.47,0,1.36,0,1.47,0,1.47,0,1.47,0,1.25,0,1.31,0,1.25,0,1.36,0,1.47,0,1.25,0,1.47,0,1.25,0,1.47,0,1.47,0,1.47,0,1.47,0,1.25,0,1.47,0,1.47,0,1.25,0,1.47,0,1.47,0,1.25,0,1.47,0,1.25,0,1.34,0,1.47,0,1.47,0,1.47,0,1.25,0,1.31,0,1.47,0,1.47,0,1.24,0,1.34,0,2.23,0,1.25,0,Protector heel or elbow
E0191,UE,,D,IN,10.62,9.03,10.62,0,10.03,0,9.03,0,9.29,0,10.62,0,9.03,0,10.62,0,10.62,0,9.88,0,9.03,0,9.03,0,10.62,0,10.62,0,9.87,0,9.03,0,10.62,0,10.34,0,10.62,0,10.62,0,10.62,0,10.62,0,9.87,0,9.03,0,10.3,0,10.62,0,9.03,0,10.62,0,9.03,0,10.62,0,10.62,0,10.62,0,9.03,0,9.03,0,10.6,0,10.62,0,9.03,0,10.62,0,10.62,0,9.03,0,10.62,0,9.03,0,10.02,0,10.62,0,10.62,0,10.62,0,9.03,0,10.62,0,10.6,0,10.62,0,9.37,0,10.02,0,13.57,0,9.03,0,Protector heel or elbow
E0193,RR,,D,CR,0,0,864.83,1029.05,864.83,1029.05,862.31,992.91,854.94,1029.05,902.61,1029.05,842.3,1023.89,837.96,965.48,837.96,991.86,864.83,969.68,864.83,997.78,838.98,1029.05,902.61,1029.05,906.17,1003.12,906.17,1029.05,838.98,1029.05,864.83,1029.05,864.83,1008.49,842.3,1029.05,837.96,1002.5,842.3,1029.05,906.17,1029.05,838.98,1008.06,838.98,1029.05,864.83,943.27,902.61,980.93,864.83,1029.05,838.98,981.48,838.98,1029.05,842.3,1029.05,837.96,1008.14,862.31,964.96,854.94,1007.57,837.96,1024.37,906.17,1029.05,862.31,1023.46,854.94,1029.05,837.96,1029.05,842.3,943.27,864.83,984.36,838.98,1029.05,864.83,983.34,862.31,1029.05,902.61,1029.05,864.83,995.37,842.3,1029.05,854.94,1029.05,906.17,1024.63,864.83,1009.92,902.61,1029.05,1180.83,0,1104.25,0,1189.47,0,1067.09,0,Powered air flotation bed
E0194,RR,,D,CR,4637.87,3942.19,4637.87,0,4637.87,0,4637.87,0,4522.54,0,4637.87,0,4637.87,0,4637.87,0,4637.87,0,4091.01,0,3942.19,0,4637.87,0,4637.87,0,4637.87,0,4637.87,0,4637.87,0,3942.19,0,4637.87,0,4637.87,0,3993.91,0,4637.87,0,4372.12,0,3942.19,0,4637.87,0,4637.87,0,4637.87,0,4054.55,0,4637.69,0,4637.87,0,4637.87,0,4489,0,3942.19,0,4637.87,0,3942.19,0,4242.32,0,4205.57,0,3942.19,0,4584.57,0,4333.81,0,3942.19,0,4637.87,0,4101.52,0,4226.58,0,4637.87,0,3942.19,0,4637.87,0,4134.43,0,3942.19,0,4048.89,0,4637.87,0,4567.74,0,4884.31,0,3856.78,0,3942.19,0,Air fluidized bed
E0196,RR,,D,CR,0,0,37.71,44.79,37.71,39.35,39.1,39.35,38.74,44.79,39.14,44.79,40.39,44.79,39.6,44.79,39.6,44.4,37.71,44.79,37.71,39.35,39.35,39.35,39.14,39.35,42.18,44.79,42.18,44.79,39.69,44.79,37.71,39.35,37.71,39.35,39.35,39.35,39.6,44.79,39.35,39.35,42.18,44.79,39.35,39.35,39.69,44.5,37.71,39.35,39.14,39.35,37.71,44.79,39.69,44.79,39.69,44.79,39.35,39.35,39.35,39.35,39.1,41.92,38.74,39.35,39.6,44.79,42.18,44.79,39.1,44.79,38.74,44.79,39.6,44.79,39.35,39.35,37.71,39.35,39.69,44.79,37.71,39.35,39.1,44.79,39.14,44.79,37.71,44.79,39.35,39.35,38.74,44.79,42.18,43.45,37.71,44.14,39.14,44.79,51.17,0,53.08,0,58.06,0,46.3,0,Gel pressure mattress
E0197,RR,,D,CR,0,0,21.12,30.91,21.12,30.91,21.58,30.91,21.61,34.17,23.02,34.17,23.59,30.91,22.72,34.17,22.72,34.17,21.12,30.91,21.12,30.91,23.93,34.17,23.02,34.17,23.5,31.91,23.5,30.91,23.93,34.17,21.12,30.91,21.12,30.91,23.59,30.91,22.72,34.17,23.59,30.91,23.5,34.17,23.93,34.17,23.93,34.17,21.12,30.91,23.02,34.17,21.12,30.91,23.93,34.17,23.93,34.17,23.59,30.91,22.72,34.17,21.58,30.91,21.61,30.91,22.72,30.91,23.5,34.17,21.58,30.91,21.61,34.17,22.72,34.17,23.59,34.17,21.12,30.91,23.93,31.65,21.12,30.91,21.58,30.91,23.02,34.17,21.12,34.17,23.59,30.91,21.61,34.17,23.5,34.17,21.12,34.17,23.02,34.17,69.94,0,73.25,0,20.93,0,37.03,0,Air pressure pad for mattres
E0198,RR,,D,CR,31.59,26.85,26.85,0,26.85,0,31.24,0,31.59,0,31.59,0,26.85,0,31.59,0,31.59,0,31.59,0,26.85,0,26.85,0,31.59,0,31.59,0,26.85,0,31.59,0,31.59,0,26.85,0,26.85,0,31.59,0,26.85,0,30.5,0,31.59,0,26.85,0,26.85,0,31.59,0,31.18,0,31.59,0,31.59,0,26.85,0,26.85,0,26.85,0,31.24,0,26.85,0,31.59,0,26.85,0,31.59,0,31.59,0,31.59,0,26.85,0,31.59,0,31.59,0,26.85,0,31.59,0,31.59,0,26.85,0,26.85,0,31.59,0,31.59,0,31.59,0,48.21,0,51.55,0,82.97,0,26.85,0,Water pressure pad for mattr
E0199,NU,,D,IN,0,0,36.95,41.64,36.95,38.84,38.32,43.65,37.88,43.65,39.04,43.65,38.94,43.65,38.32,43.65,38.32,43.65,36.95,42.72,36.95,43.65,37.74,43.65,39.04,43.65,36.43,40.62,36.43,38.84,37.74,43.65,36.95,43.65,36.95,38.84,38.94,40.33,38.32,43.65,38.94,40.33,36.43,43.65,37.74,39.87,37.74,41.81,36.95,38.84,39.04,43.65,36.95,38.84,37.74,43.65,37.74,43.03,38.94,40.33,38.32,43.65,38.32,42.26,37.88,43.65,38.32,43.65,36.43,38.84,38.32,42.26,37.88,38.84,38.32,43.65,38.94,41.77,36.95,39.79,37.74,43.65,36.95,43.65,38.32,43.05,39.04,43.65,36.95,43.65,38.94,40.33,37.88,43.65,36.43,38.84,36.95,38.84,39.04,43.65,107.8,0,112.09,0,121.84,0,45.7,0,Dry pressure pad for mattres
E0199,RR,,D,IN,0,0,3.7,4.17,3.7,3.86,3.83,4.35,3.79,4.35,3.91,4.35,3.89,4.35,3.83,4.35,3.83,4.35,3.7,4.28,3.7,4.35,3.77,4.35,3.91,4.35,3.64,4.03,3.64,3.86,3.77,4.35,3.7,4.35,3.7,3.86,3.89,4.02,3.83,4.35,3.89,4.02,3.64,4.35,3.77,3.98,3.77,4.19,3.7,3.86,3.91,4.35,3.7,3.86,3.77,4.35,3.77,4.3,3.89,4.02,3.83,4.35,3.83,4.24,3.79,4.35,3.83,4.35,3.64,3.86,3.83,4.24,3.79,3.86,3.83,4.35,3.89,4.19,3.7,3.98,3.77,4.35,3.7,4.35,3.83,4.3,3.91,4.35,3.7,4.35,3.89,4.02,3.79,4.35,3.64,3.86,3.7,3.86,3.91,4.35,34.26,0,36.25,0,13.87,0,4.55,0,Dry pressure pad for mattres
E0199,UE,,D,IN,0,0,27.71,31.23,27.71,29.12,28.74,32.73,28.41,32.73,29.28,32.73,29.21,32.73,28.74,32.73,28.74,32.73,27.71,32.04,27.71,32.73,28.31,32.73,29.28,32.73,27.32,30.51,27.32,29.12,28.31,32.73,27.71,32.73,27.71,29.12,29.21,30.22,28.74,32.73,29.21,30.22,27.32,32.73,28.31,29.92,28.31,31.37,27.71,29.12,29.28,32.73,27.71,29.12,28.31,32.73,28.31,32.26,29.21,30.22,28.74,32.73,28.74,31.7,28.41,32.73,28.74,32.73,27.32,29.12,28.74,31.7,28.41,29.12,28.74,32.73,29.21,31.34,27.71,29.88,28.31,32.73,27.71,32.73,28.74,32.28,29.28,32.73,27.71,32.73,29.21,30.22,28.41,32.73,27.32,29.12,27.71,29.12,29.28,32.73,146.47,0,153.81,0,91.39,0,34.26,0,Dry pressure pad for mattres
E0200,NU,,D,IN,112.99,96.04,112.99,0,112.99,0,96.04,0,112.99,0,112.99,0,112.99,0,112.99,0,112.99,0,96.04,0,112.99,0,103.53,0,112.99,0,112.99,0,96.04,0,97.69,0,112.99,0,112.99,0,96.04,0,105.86,0,96.04,0,96.04,0,96.04,0,112.99,0,96.04,0,96.04,0,112.99,0,96.04,0,97.69,0,96.04,0,96.04,0,107.59,0,96.04,0,112.99,0,112.99,0,107.59,0,112.99,0,112.99,0,112.99,0,112.99,0,96.04,0,112.99,0,112.99,0,112.99,0,112.99,0,96.04,0,112.99,0,112.99,0,112.99,0,96.04,0,142.56,0,152.46,0,237.31,0,112.99,0,Heat lamp without stand
E0200,RR,,D,IN,15.34,13.04,15.34,0,15.34,0,13.04,0,15.34,0,15.34,0,15.34,0,15.34,0,15.34,0,13.04,0,15.34,0,13.04,0,13.17,0,15.34,0,13.04,0,13.04,0,13.85,0,15.34,0,13.04,0,15.34,0,13.04,0,13.04,0,13.04,0,15.34,0,13.04,0,13.04,0,15.34,0,13.04,0,13.04,0,13.04,0,15.34,0,13.04,0,15.34,0,15.34,0,15.34,0,13.04,0,15.34,0,15.34,0,13.04,0,15.34,0,13.04,0,15.34,0,15.34,0,14.83,0,15.34,0,13.04,0,15.34,0,15.34,0,15.34,0,13.04,0,39.42,0,42.1,0,29.66,0,15.34,0,Heat lamp without stand
E0200,UE,,D,IN,84.79,72.07,84.79,0,84.79,0,72.07,0,84.79,0,84.79,0,84.79,0,84.79,0,84.78,0,72.07,0,84.79,0,77.66,0,84.79,0,84.79,0,72.07,0,73.26,0,84.79,0,84.79,0,72.07,0,79.42,0,72.07,0,72.07,0,72.07,0,84.79,0,72.07,0,72.07,0,84.79,0,72.07,0,73.26,0,72.07,0,72.07,0,80.7,0,72.07,0,84.79,0,84.79,0,80.7,0,84.79,0,84.78,0,84.79,0,84.79,0,72.07,0,84.79,0,84.79,0,84.79,0,84.79,0,72.07,0,84.79,0,84.79,0,84.79,0,72.07,0,107.54,0,115.01,0,177.95,0,84.79,0,Heat lamp without stand
E0201,NU,,D,IN,146.52,124.54,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,146.52,0,Penile contractur devic manu
E0201,RR,,D,IN,14.65,12.45,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,14.65,0,Penile contractur devic manu
E0201,UE,,D,IN,109.89,93.41,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,109.89,0,Penile contractur devic manu
E0202,RR,,D,CR,89.25,75.86,89.25,0,89.25,0,75.86,0,75.86,0,78.06,0,77.27,0,89.25,0,89.25,0,75.86,0,75.86,0,89.25,0,75.86,0,89.25,0,83.17,0,89.25,0,75.86,0,89.25,0,85.9,0,89.25,0,88.79,0,89.25,0,78.08,0,89.25,0,89.25,0,77.66,0,89.25,0,75.86,0,89.25,0,81.54,0,89.25,0,89.25,0,76.6,0,89.25,0,89.25,0,89.25,0,75.86,0,89.25,0,75.86,0,89.25,0,79.04,0,89.25,0,89.25,0,81.89,0,89.25,0,85.21,0,75.86,0,75.86,0,89.25,0,78.76,0,75.19,0,80.4,0,320.58,0,89.25,0,Phototherapy light w/ photom
E0205,NU,,D,IN,276.56,235.08,235.08,0,276.56,0,235.08,0,235.08,0,276.56,0,276.56,0,235.08,0,235.08,0,235.08,0,276.56,0,240.4,0,235.08,0,276.56,0,276.56,0,276.56,0,235.08,0,276.56,0,235.08,0,235.08,0,235.08,0,235.08,0,246.81,0,261.63,0,235.08,0,240.4,0,276.56,0,276.56,0,276.56,0,235.08,0,235.08,0,276.56,0,235.08,0,276.56,0,276.56,0,276.56,0,235.08,0,235.08,0,263.56,0,276.56,0,276.56,0,276.56,0,276.56,0,276.56,0,276.56,0,235.08,0,276.56,0,276.56,0,276.56,0,276.56,0,166.67,0,178.2,0,370.65,0,276.56,0,Heat lamp with stand
E0205,RR,,D,IN,30.43,25.87,25.87,0,30.43,0,28.83,0,30.43,0,30.43,0,30.43,0,28.28,0,30.43,0,25.87,0,30.43,0,25.87,0,25.87,0,30.43,0,30.43,0,30.43,0,29.63,0,30.43,0,25.87,0,25.87,0,25.87,0,25.87,0,27.5,0,26.15,0,25.87,0,25.87,0,30.43,0,30.43,0,30.43,0,25.87,0,28.28,0,30.43,0,25.87,0,30.43,0,30.43,0,30.43,0,25.87,0,29.95,0,25.87,0,30.43,0,30.43,0,30.42,0,30.43,0,27.66,0,30.43,0,25.87,0,30.43,0,30.43,0,30.43,0,30.43,0,80.38,0,85.99,0,46.33,0,30.43,0,Heat lamp with stand
E0205,UE,,D,IN,207.43,176.32,176.32,0,207.43,0,176.32,0,176.32,0,207.43,0,207.43,0,176.32,0,176.32,0,176.32,0,207.43,0,180.35,0,176.32,0,207.43,0,207.43,0,207.43,0,176.32,0,207.43,0,176.32,0,176.32,0,176.32,0,176.32,0,185.07,0,196.24,0,176.32,0,180.33,0,207.43,0,207.43,0,207.43,0,176.32,0,176.32,0,207.43,0,176.32,0,207.43,0,207.43,0,207.43,0,176.32,0,176.32,0,197.68,0,207.43,0,207.43,0,207.43,0,207.43,0,207.43,0,207.43,0,176.32,0,207.43,0,207.43,0,207.43,0,207.43,0,125.02,0,133.7,0,277.96,0,207.43,0,Heat lamp with stand
E0210,NU,,D,IN,46.54,39.56,39.56,0,39.56,0,39.56,0,46.54,0,46.54,0,46.54,0,46.54,0,46.54,0,39.56,0,41.52,0,39.56,0,39.56,0,39.56,0,39.56,0,46.54,0,39.56,0,44.94,0,46.54,0,46.54,0,46.54,0,46.54,0,46.54,0,46.54,0,39.88,0,46.54,0,39.56,0,39.56,0,46.54,0,46.54,0,46.54,0,39.56,0,39.56,0,39.56,0,46.54,0,39.56,0,43.63,0,46.54,0,46.54,0,39.56,0,39.56,0,39.56,0,39.56,0,46.54,0,46.54,0,46.54,0,46.54,0,46.54,0,46.54,0,39.56,0,119.51,0,127.76,0,42.94,0,39.56,0,Electric heat pad standard
E0210,RR,,D,IN,4.39,3.73,3.73,0,3.73,0,4.39,0,4.39,0,4.39,0,4.39,0,4.39,0,4.39,0,3.76,0,4.15,0,3.73,0,3.8,0,4.39,0,3.73,0,4.39,0,3.86,0,4.39,0,3.79,0,4.39,0,3.79,0,4.39,0,4.39,0,4.39,0,3.99,0,4.39,0,3.73,0,3.73,0,4.39,0,3.78,0,4.39,0,3.73,0,4.39,0,3.73,0,4.39,0,3.79,0,4.39,0,4.39,0,3.74,0,3.73,0,3.89,0,3.73,0,3.73,0,4.39,0,4.39,0,3.78,0,4.39,0,4.39,0,4.39,0,3.73,0,70.23,0,75.11,0,5.38,0,3.73,0,Electric heat pad standard
E0210,UE,,D,IN,34.87,29.64,29.64,0,29.64,0,29.64,0,34.87,0,34.87,0,34.87,0,34.87,0,34.87,0,29.64,0,31.15,0,29.64,0,29.64,0,29.64,0,29.64,0,34.87,0,29.64,0,33.7,0,34.87,0,34.87,0,34.87,0,34.87,0,34.87,0,34.87,0,29.94,0,34.87,0,29.64,0,29.64,0,34.87,0,34.87,0,34.87,0,29.64,0,29.64,0,29.64,0,34.87,0,29.64,0,32.75,0,34.87,0,34.87,0,29.64,0,29.64,0,29.64,0,29.64,0,34.87,0,34.87,0,34.87,0,34.87,0,34.87,0,34.87,0,29.64,0,86.83,0,92.86,0,32.21,0,29.64,0,Electric heat pad standard
E0215,NU,,D,IN,100.96,85.82,85.82,0,100.96,0,91.4,0,100.96,0,100.96,0,97.01,0,100.96,0,100.96,0,85.82,0,85.82,0,100.96,0,100.96,0,85.82,0,85.82,0,100.96,0,85.82,0,100.96,0,85.82,0,100.96,0,85.82,0,85.82,0,85.82,0,100.96,0,85.82,0,85.82,0,100.96,0,100.96,0,100.96,0,85.82,0,85.82,0,85.82,0,91.4,0,85.82,0,100.96,0,85.82,0,85.82,0,100.96,0,100.96,0,85.82,0,100.96,0,100.96,0,100.96,0,85.82,0,100.96,0,85.82,0,100.96,0,100.96,0,100.96,0,100.96,0,115.67,0,123.7,0,155.37,0,85.82,0,Electric heat pad moist
E0215,RR,,D,IN,10.57,8.98,8.98,0,10.57,0,10.57,0,10.57,0,10.57,0,9.66,0,10.57,0,10.57,0,8.98,0,8.98,0,10.57,0,10.57,0,10.57,0,8.98,0,10.57,0,8.98,0,10.57,0,8.98,0,10.57,0,8.98,0,8.98,0,8.98,0,10.57,0,8.98,0,8.98,0,10.08,0,10.57,0,10.57,0,8.98,0,9.44,0,8.98,0,10.57,0,8.98,0,10.57,0,8.98,0,8.98,0,10.57,0,8.98,0,8.98,0,10.57,0,10.57,0,10.57,0,8.98,0,10.57,0,8.98,0,8.98,0,10.57,0,10.57,0,10.57,0,76.19,0,81.52,0,25.43,0,8.98,0,Electric heat pad moist
