HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,AL (NR),AL (R),AR (NR),AR (R),AZ (NR),AZ (R),CA (NR),CA (R),CO (NR),CO (R),CT (NR),CT (R),DC (NR),DC (R),DE (NR),DE (R),FL (NR),FL (R),GA (NR),GA (R),IA (NR),IA (R),ID (NR),ID (R),IL (NR),IL (R),IN (NR),IN (R),KS (NR),KS (R),KY (NR),KY (R),LA (NR),LA (R),MA (NR),MA (R),MD (NR),MD (R),ME (NR),ME (R),MI (NR),MI (R),MN (NR),MN (R),MO (NR),MO (R),MS (NR),MS (R),MT (NR),MT (R),NC (NR),NC (R),ND (NR),ND (R),NE (NR),NE (R),NH (NR),NH (R),NJ (NR),NJ (R),NM (NR),NM (R),NV (NR),NV (R),NY (NR),NY (R),OH (NR),OH (R),OK (NR),OK (R),OR (NR),OR (R),PA (NR),PA (R),RI (NR),RI (R),SC (NR),SC (R),SD (NR),SD (R),TN (NR),TN (R),TX (NR),TX (R),UT (NR),UT (R),VA (NR),VA (R),VT (NR),VT (R),WA (NR),WA (R),WI (NR),WI (R),WV (NR),WV (R),WY (NR),WY (R),AK (NR),AK (R),HI (NR),HI (R),PR (NR),PR (R),VI (NR),VI (R),Description
A6590,,,D,SU,0,0,437.4,0,424.2,0,437.4,0,437.4,0,437.4,0,371.7,0,437.4,0,437.4,0,413.4,0,429,0,437.4,0,414,0,437.4,0,437.4,0,408.9,0,433.8,0,424.2,0,371.7,0,437.4,0,371.7,0,436.2,0,424.2,0,437.4,0,437.4,0,437.4,0,429.9,0,437.4,0,408.9,0,371.7,0,437.4,0,437.4,0,437.4,0,437.4,0,397.2,0,437.4,0,414,0,437.4,0,413.4,0,433.8,0,437.4,0,412.8,0,371.7,0,437.4,0,413.4,0,371.7,0,437.4,0,437.4,0,424.2,0,437.4,0,455.4,0,487.5,0,453.6,0,437.4,0,urinary cath disp suc pump
A6591,,,D,SU,88.86,75.53,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,88.86,0,Urinary cath suc pump
A6594,,,D,LC,0,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,34.13,0,G comp bandge liner lwr extr
A6595,,,D,LC,0,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,33.57,0,G comp bandge liner upr extr
A6596,,,D,LC,0,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,G comp bandge conform gauze
A6597,,,D,LC,0,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,1.51,0,G comp bandage long stretch
A6598,,,D,LC,0,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,0.73,0,G comp bandage med stretch
A6599,,,D,LC,0,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,1.66,0,G comp bandage short stretch
A6600,,,D,LC,0,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,0,G com bandge hgh dn foam sht
A6601,,,D,LC,0,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,3.36,0,G com bandge hgh dn foam pad
A6602,,,D,LC,0,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,G com bandge hgh dn foamroll
A6603,,,D,LC,0,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,2.3,0,G com bandge low dn foamchnl
A6604,,,D,LC,0,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,1.34,0,G com bandge low dn foam flt
A6605,,,D,LC,0,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,1.53,0,G com bandage padded foam
A6606,,,D,LC,0,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,4.55,0,G com bandage padded textile
A6607,,,D,LC,0,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,1.22,0,G com bandage tub protct lyr
A6608,,,D,LC,0,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,5.07,0,G com bandage tub protct pad
A6610,,,D,LC,0,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,220.43,0,G com stcking bk 18-30 custm
A7000,NU,,D,IN,0,0,10.22,11.32,10.22,11.32,10.25,11.32,10.1,11.32,10.64,11.32,9.82,10.57,9.57,10.23,9.57,10.03,10.22,10.98,10.22,11.27,10.26,11.32,10.64,11.32,10.23,10.23,10.29,10.76,10.26,11.32,10.22,11.32,10.22,11.32,9.82,10.52,9.57,10.23,9.82,10.71,10.29,10.67,10.23,10.23,10.26,11.32,10.22,11.32,10.64,11.32,10.22,11.22,10.26,11.32,10.26,11.32,9.82,10.03,9.57,10.03,10.25,11.32,10.1,11.32,9.57,10.03,10.29,10.85,10.25,11.32,10.1,11.32,9.57,10.03,9.82,10.03,10.22,11.32,10.26,11.32,10.22,11.32,10.25,10.98,10.64,11.32,10.22,10.23,9.82,10.41,10.1,11.32,10.29,10.76,10.22,10.23,10.64,11.32,9.06,0,9.71,0,12.14,0,10.03,0,Disposable canister for pump
A7000,NU,KE,D,IN,0,0,0,12.15,0,12.15,0,12.15,0,12.15,0,12.15,0,11.37,0,11.01,0,10.79,0,11.8,0,12.1,0,12.15,0,12.15,0,11.01,0,11.57,0,12.15,0,12.15,0,12.15,0,11.32,0,11.01,0,11.52,0,11.48,0,11.01,0,12.15,0,12.15,0,12.15,0,12.04,0,12.15,0,12.15,0,10.79,0,10.79,0,12.15,0,12.15,0,10.79,0,11.67,0,12.15,0,12.15,0,10.79,0,10.79,0,12.15,0,12.15,0,12.15,0,11.8,0,12.15,0,11.01,0,11.2,0,12.15,0,11.57,0,11.01,0,12.15,9.75,0,10.44,0,13.09,0,10.79,0,Disposable canister for pump
A7001,NU,,D,IN,46.21,39.28,41.61,0,41.24,0,46.21,0,46.21,0,41.44,0,43.94,0,46.21,0,41.69,0,39.28,0,40.42,0,46.21,0,46.21,0,46.21,0,46.21,0,46.21,0,40.86,0,42.4,0,43.72,0,46.21,0,44.61,0,46.21,0,46.21,0,46.21,0,41.24,0,46.21,0,40.07,0,46.21,0,46.21,0,41.69,0,41.69,0,41.04,0,46.21,0,41.69,0,46.21,0,40.93,0,46.21,0,41.69,0,41.69,0,40.86,0,46.21,0,41.95,0,39.28,0,46.21,0,46.21,0,43.34,0,46.21,0,46.21,0,46.21,0,46.21,0,42.34,0,45.28,0,46.65,0,41.69,0,Nondisposable pump canister
A7002,NU,,D,IN,5.36,4.56,4.56,0,4.56,0,5.36,0,5.36,0,4.56,0,5.09,0,5.36,0,4.85,0,4.56,0,4.56,0,5.36,0,5.36,0,5.36,0,5.36,0,5.36,0,4.56,0,4.56,0,5.08,0,5.36,0,5.21,0,5.36,0,5.36,0,5.36,0,4.56,0,5.36,0,4.56,0,5.36,0,5.36,0,4.85,0,4.85,0,4.56,0,5.36,0,4.85,0,5.36,0,4.56,0,5.36,0,4.85,0,4.85,0,4.56,0,5.36,0,4.56,0,4.56,0,5.36,0,5.36,0,5.02,0,5.36,0,5.36,0,5.36,0,5.36,0,4.88,0,5.24,0,3.79,0,4.85,0,Tubing used w suction pump
A7003,NU,,D,IN,0,0,1.84,2.93,1.84,2.93,1.89,2.93,1.86,2.93,1.81,2.93,1.83,2.93,1.81,2.64,1.81,2.92,1.84,2.83,1.84,2.9,1.87,2.93,1.81,2.93,1.84,2.64,1.84,2.68,1.87,2.93,1.84,2.91,1.84,2.93,1.83,2.93,1.81,2.64,1.83,2.93,1.84,2.67,1.87,2.69,1.87,2.93,1.84,2.93,1.81,2.93,1.84,2.88,1.87,2.93,1.87,2.93,1.83,2.92,1.81,2.92,1.89,2.92,1.86,2.93,1.81,2.92,1.84,2.64,1.89,2.92,1.86,2.93,1.81,2.92,1.83,2.92,1.84,2.91,1.87,2.93,1.84,2.93,1.89,2.83,1.81,2.93,1.84,2.64,1.83,2.93,1.86,2.93,1.84,2.68,1.84,2.64,1.81,2.93,2.42,0,2.54,0,3.18,0,2.92,0,Nebulizer administration set
A7004,NU,,D,IN,0,0,1.55,1.92,1.55,1.92,1.52,2.1,1.54,2.1,1.47,1.92,1.51,1.93,1.52,2.1,1.52,1.92,1.55,1.92,1.55,1.92,1.54,2.1,1.47,2.1,1.54,2.1,1.54,2.1,1.54,2.1,1.55,1.92,1.55,1.92,1.51,1.93,1.52,2.1,1.51,1.96,1.54,2.1,1.54,2.1,1.54,2.1,1.55,1.92,1.47,2.1,1.55,1.92,1.54,2.1,1.54,2.1,1.51,1.92,1.52,1.92,1.52,1.92,1.54,2.1,1.52,1.92,1.54,2.1,1.52,1.92,1.54,2.1,1.52,1.92,1.51,1.92,1.55,1.92,1.54,2.1,1.55,1.92,1.52,1.92,1.47,2.1,1.55,2.1,1.51,1.92,1.54,2.1,1.54,2.1,1.55,2.1,1.47,2.1,1.97,0,2.03,0,1.68,0,1.92,0,Disposable nebulizer sml vol
A7005,NU,,D,IN,0,0,14.62,26.25,14.62,26.25,13.63,29.48,11.46,29.48,15.89,26.25,13.9,28.42,13.07,29.48,13.07,27.36,14.62,26.25,14.62,26.25,14.44,29.48,15.89,29.48,15.67,29.48,15.67,29.48,14.44,29.48,14.62,26.25,14.62,26.25,13.9,28.35,13.07,29.48,13.9,28.72,15.67,29.48,14.44,29.48,14.44,29.48,14.62,26.25,15.89,29.48,14.62,26.25,14.44,29.48,14.44,29.48,13.9,27.36,13.07,27.36,13.63,26.25,11.46,29.48,13.07,27.36,15.67,29.48,13.63,26.25,11.46,29.48,13.07,27.36,13.9,27.36,14.62,26.25,14.44,29.48,14.62,26.25,13.63,26.25,15.89,29.48,14.62,29.48,13.9,28.14,11.46,29.48,15.67,29.48,14.62,29.48,15.89,29.48,27.26,0,28.58,0,22.18,0,27.36,0,Nondisposable nebulizer set
A7006,NU,,D,IN,0,0,9.31,11.5,9.31,11.5,8.09,11.5,7.98,11.5,9.34,11.5,8.83,10.81,8.42,11.5,8.42,10.52,9.31,11.46,9.31,11.5,8.03,11.5,9.34,11.5,9.65,11.5,9.65,11.5,8.03,11.5,9.31,11.5,9.31,11.5,8.83,10.8,8.42,11.5,8.83,10.91,9.65,11.5,8.03,11.5,8.03,11.5,9.31,11.5,9.34,11.5,9.31,11.5,8.03,11.5,8.03,11.5,8.83,10.52,8.42,10.52,8.09,11.5,7.98,11.5,8.42,10.52,9.65,11.5,8.09,11.5,7.98,11.5,8.42,10.52,8.83,10.52,9.31,11.5,8.03,11.5,9.31,11.5,8.09,11.46,9.34,11.5,9.31,11.5,8.83,10.75,7.98,11.5,9.65,11.5,9.31,11.5,9.34,11.5,13.99,0,14.62,0,12.79,0,10.52,0,Filtered nebulizer admin set
A7007,NU,,D,IN,0,0,4.06,5.23,4.06,5.21,3.62,5.36,3.38,5.36,4.04,5.22,3.9,5.07,3.72,5.36,3.72,4.91,4.06,5.04,4.06,5.15,3.64,5.36,4.04,5.36,4.26,5.36,4.26,5.36,3.64,5.36,4.06,5.18,4.06,5.3,3.9,5.06,3.72,5.36,3.9,5.11,4.26,5.36,3.64,5.36,3.64,5.36,4.06,5.21,4.04,5.36,4.06,5.12,3.64,5.36,3.64,5.36,3.9,4.91,3.72,4.91,3.62,5.18,3.38,5.36,3.72,4.91,4.26,5.36,3.62,5.18,3.38,5.36,3.72,4.91,3.9,4.91,4.06,5.18,3.64,5.36,4.06,5.25,3.62,5.04,4.04,5.36,4.06,5.36,3.9,5.04,3.38,5.36,4.26,5.36,4.06,5.36,4.04,5.36,5.5,0,5.74,0,5.6,0,4.91,0,Lg vol nebulizer disposable
A7008,NU,,D,IN,15.36,13.06,13.06,0,13.06,0,15.36,0,15.36,0,13.06,0,15.36,0,15.36,0,15.36,0,13.06,0,13.06,0,15.36,0,15.36,0,15.36,0,15.36,0,15.36,0,13.06,0,13.06,0,15.36,0,15.36,0,15.36,0,15.36,0,15.36,0,15.36,0,13.06,0,15.36,0,13.06,0,15.36,0,15.36,0,15.36,0,15.36,0,13.06,0,15.36,0,15.36,0,15.36,0,13.06,0,15.36,0,15.36,0,15.36,0,13.06,0,15.36,0,13.06,0,13.06,0,15.36,0,15.36,0,15.36,0,15.36,0,15.36,0,15.36,0,15.36,0,16.57,0,17.74,0,12.22,0,15.36,0,Disposable nebulizer prefill
A7009,NU,,D,IN,58.76,49.95,58.37,0,57.87,0,58.76,0,58.76,0,58.12,0,55.82,0,58.76,0,52.94,0,54.55,0,56.73,0,58.76,0,58.76,0,58.76,0,58.76,0,58.76,0,57.28,0,58.76,0,55.58,0,58.76,0,56.69,0,58.76,0,58.76,0,58.76,0,57.87,0,58.76,0,56.2,0,58.76,0,58.76,0,52.94,0,52.94,0,57.6,0,58.76,0,52.94,0,58.76,0,57.4,0,58.76,0,52.94,0,52.94,0,57.28,0,58.76,0,58.76,0,54.55,0,58.76,0,58.76,0,55.09,0,58.76,0,58.76,0,58.76,0,58.76,0,53.52,0,57.24,0,65.46,0,52.94,0,Nebulizer reservoir bottle
A7010,NU,,D,IN,0,0,19.65,24.3,19.65,24.3,17.15,26.78,18.12,26.78,19.37,24.3,18.23,26.78,18.45,26.78,18.45,26.58,19.65,24.3,19.65,24.3,17.94,26.78,19.37,26.78,19.55,26.78,19.55,26.78,17.94,26.78,19.65,24.3,19.65,24.3,18.23,26.78,18.45,26.78,18.23,26.78,19.55,26.78,17.94,26.78,17.94,26.78,19.65,24.3,19.37,26.78,19.65,24.3,17.94,26.78,17.94,26.78,18.23,26.58,18.45,26.58,17.15,24.3,18.12,26.78,18.45,26.58,19.55,26.78,17.15,24.3,18.12,26.78,18.45,26.58,18.23,26.58,19.65,24.3,17.94,26.78,19.65,24.3,17.15,24.3,19.37,26.78,19.65,26.78,18.23,26.78,18.12,26.78,19.55,26.78,19.65,26.78,19.37,26.78,24.87,0,25.88,0,25.2,0,26.58,0,Disposable corrugated tubing
A7012,NU,,D,IN,0,0,3.61,4.52,3.61,4.52,3.16,4.52,3.37,4.52,3.5,4.52,3.41,4.52,3.33,4.13,3.33,4.39,3.61,4.4,3.61,4.5,3.31,4.52,3.5,4.52,3.4,4.13,3.4,4.14,3.31,4.52,3.61,4.52,3.61,4.52,3.41,4.51,3.33,4.13,3.41,4.52,3.4,4.13,3.31,4.15,3.31,4.52,3.61,4.52,3.5,4.52,3.61,4.49,3.31,4.52,3.31,4.52,3.41,4.39,3.33,4.39,3.16,4.52,3.37,4.52,3.33,4.39,3.4,4.13,3.16,4.52,3.37,4.52,3.33,4.39,3.41,4.39,3.61,4.52,3.31,4.52,3.61,4.52,3.16,4.4,3.5,4.52,3.61,4.13,3.41,4.49,3.37,4.52,3.4,4.14,3.61,4.13,3.5,4.52,3.8,0,3.94,0,4.91,0,4.39,0,Nebulizer water collec devic
A7013,NU,,D,IN,0,0,0.71,0.86,0.71,0.86,0.63,0.95,0.66,0.95,0.65,0.86,0.66,0.92,0.67,0.95,0.67,0.9,0.71,0.86,0.71,0.86,0.68,0.95,0.65,0.95,0.71,0.95,0.71,0.95,0.68,0.95,0.71,0.86,0.71,0.86,0.66,0.92,0.67,0.95,0.66,0.93,0.71,0.95,0.68,0.95,0.68,0.95,0.71,0.86,0.65,0.95,0.71,0.86,0.68,0.95,0.68,0.95,0.66,0.9,0.67,0.9,0.63,0.86,0.66,0.95,0.67,0.9,0.71,0.95,0.63,0.86,0.66,0.95,0.67,0.9,0.66,0.9,0.71,0.86,0.68,0.95,0.71,0.86,0.63,0.86,0.65,0.95,0.71,0.95,0.66,0.92,0.66,0.95,0.71,0.95,0.71,0.95,0.65,0.95,0.91,0,0.93,0,0.68,0,0.9,0,Disposable compressor filter
A7014,NU,,D,IN,0,0,3.99,5.31,3.99,5.31,3.72,5.31,3.79,5.31,4.21,5.31,3.97,5.17,3.93,5.31,3.93,5,3.99,5.21,3.99,5.31,3.86,5.31,4.21,5.31,4.12,5.31,4.12,5.31,3.86,5.31,3.99,5.31,3.99,5.31,3.97,5.15,3.93,5.31,3.97,5.21,4.12,5.31,3.86,5.31,3.86,5.31,3.99,5.31,4.21,5.31,3.99,5.29,3.86,5.31,3.86,5.31,3.97,5,3.93,5,3.72,5.31,3.79,5.31,3.93,5,4.12,5.31,3.72,5.31,3.79,5.31,3.93,5,3.97,5,3.99,5.31,3.86,5.31,3.99,5.31,3.72,5.21,4.21,5.31,3.99,5.31,3.97,5.12,3.79,5.31,4.12,5.31,3.99,5.31,4.21,5.31,5.06,0,5.23,0,5.81,0,5,0,Compressor nondispos filter
A7015,NU,,D,IN,0,0,1.6,2.16,1.6,2.16,1.49,2.16,1.42,2.16,1.6,2.16,1.51,2.06,1.48,1.99,1.48,2,1.6,2.16,1.6,2.16,1.53,2.16,1.6,2.16,1.57,1.99,1.57,2.04,1.53,2.16,1.6,2.16,1.6,2.16,1.51,2.05,1.48,1.99,1.51,2.09,1.57,2.02,1.53,2.05,1.53,2.16,1.6,2.16,1.6,2.16,1.6,2.16,1.53,2.16,1.53,2.16,1.51,2,1.48,2,1.49,2.16,1.42,2.16,1.48,2,1.57,1.99,1.49,2.16,1.42,2.16,1.48,2,1.51,2,1.6,2.16,1.53,2.16,1.6,2.16,1.49,2.16,1.6,2.16,1.6,1.99,1.51,2.04,1.42,2.16,1.57,2.04,1.6,1.99,1.6,2.16,1.85,0,1.9,0,2.44,0,2,0,Aerosol mask used w nebulize
A7016,NU,,D,IN,10.14,8.62,9.75,0,9.64,0,10.14,0,10.14,0,9.68,0,9.59,0,10.14,0,9.13,0,9.13,0,9.43,0,10.14,0,10.14,0,10.14,0,10.14,0,10.14,0,9.51,0,9.89,0,9.56,0,10.14,0,9.77,0,10.14,0,10.14,0,10.14,0,9.64,0,10.14,0,9.36,0,10.14,0,10.14,0,9.13,0,9.13,0,9.58,0,10.14,0,9.13,0,10.14,0,9.56,0,10.14,0,9.13,0,9.13,0,9.51,0,10.14,0,9.82,0,9.13,0,10.14,0,10.14,0,9.45,0,10.14,0,10.14,0,10.14,0,10.14,0,16.28,0,17.4,0,10.91,0,9.13,0,Nebulizer dome & mouthpiece
